user_id,message,created_at,is_read
6," New Order Received!
 Customer: kuladeep (kuladeep@gmail.com,  9876324554)
 Order ID: 1
 Book: python x 1
 Price: 155.00 per unit
 Total Price: 155.00
 Order Date: 2025-03-08 12:06:50.703335",2025-03-08 12:06:50.720320,False
6," Order Canceled!
 Order ID: 1
 Book: python x 1
 Order Date: 2025-03-08 12:06:50.703335",2025-03-08 12:07:05.258401,False
4," New Order Received!
 Customer: kuladeep (kuladeep@gmail.com,  9876324554)
 Order ID: 1
 Book: c programming x 1
 Price: 90.00 per unit
 Total Price: 90.00
 Order Date: 2025-03-10 14:31:33.629910",2025-03-10 14:31:33.645364,False
1," New Order Received!
 Customer: kuladeep (kuladeep@gmail.com,  9876324554)
 Order ID: 2
 Book: nowshik x 1
 Price: 100000.00 per unit
 Total Price: 100000.00
 Order Date: 2025-03-12 10:16:18.218128",2025-03-12 10:16:18.255074,False
4," New Order Received!
 Customer: kuladeep (kuladeep@gmail.com,  9876324554)
 Order ID: 3
 Book: c++ x 1
 Price: 200.00 per unit
 Total Price: 200.00
 Order Date: 2025-03-12 10:16:28.707977",2025-03-12 10:16:28.732357,False
4," New Order Received!
 Customer: kuladeep (kuladeep@gmail.com,  9876324554)
 Order ID: 4
 Book: c++ x 1
 Price: 200.00 per unit
 Total Price: 200.00
 Order Date: 2025-03-14 03:34:51.504754",2025-03-14 03:34:51.557158,False
5," New Order Received!
 Customer: kuladeep (kuladeep@gmail.com,  9876324554)
 Order ID: 5
 Book: java x 2
 Price: 175.00 per unit
 Total Price: 350.00
 Order Date: 2025-03-14 06:41:43.005725",2025-03-14 06:41:43.062915,False
4," New Order Received!
 Customer: kuladeep (kuladeep@gmail.com,  9876324554)
 Order ID: 6
 Book: 1 x 11
 Price: 1.00 per unit
 Total Price: 11.00
 Order Date: 2025-03-14 06:42:02.407687",2025-03-14 06:42:02.445377,False
4," Order Canceled!
 Order ID: 1
 Book: c programming x 1
 Order Date: 2025-03-10 14:31:33.629910",2025-03-14 10:23:48.009671,False
1," Order Canceled!
 Order ID: 2
 Book: nowshik x 1
 Order Date: 2025-03-12 10:16:18.218128",2025-03-14 10:23:49.438682,False
4," Order Canceled!
 Order ID: 3
 Book: c++ x 1
 Order Date: 2025-03-12 10:16:28.707977",2025-03-14 10:23:59.282216,False
1," New Order Received!
 Customer: kuladeep (kuladeep@gmail.com,  9876324554)
 Order ID: 7
 Book: string1 x 1
 Price: 1.00 per unit
 Total Price: 1.00
 Order Date: 2025-03-14 10:24:06.590549",2025-03-14 10:24:06.616716,False
6," New Order Received!
 Customer: kuladeep (kuladeep@gmail.com,  9876324554)
 Order ID: 8
 Book: 777 x 1
 Price: 0.00 per unit
 Total Price: 0.00
 Order Date: 2025-03-14 10:24:24.123803",2025-03-14 10:24:24.158201,False
1," Order Canceled!
 Order ID: 7
 Book: string1 x 1
 Order Date: 2025-03-14 10:24:06.590549",2025-03-14 10:30:40.004689,False
4," New Order Received!
 Customer: kuladeep (kuladeep@gmail.com,  9876324554)
 Order ID: 9
 Book: c++ x 1
 Price: 200.00 per unit
 Total Price: 200.00
 Order Date: 2025-03-14 12:16:05.502869",2025-03-14 12:16:05.552397,False
5," Order Canceled!
 Order ID: 5
 Book: java x 2
 Order Date: 2025-03-14 06:41:43.005725",2025-03-14 13:39:29.595981,False
5," New Order Received!
 Customer: balaraju (balaraju@gmail.com,  9876545674)
 Order ID: 10
 Book: IOT x 2
 Price: 200.00 per unit
 Total Price: 400.00
 Order Date: 2025-03-19 08:30:47.357428",2025-03-19 08:30:47.423163,False
5," Order Canceled!
 Order ID: 10
 Book: IOT x 2
 Order Date: 2025-03-19 08:30:47.357428",2025-03-19 08:31:43.216526,False
5," New Order Received!
 Customer: balaraju (balaraju@gmail.com,  9876545674)
 Order ID: 10
 Book: IOT x 2
 Price: 200.00 per unit
 Total Price: 400.00
 Order Date: 2025-03-19 08:31:55.493362",2025-03-19 08:31:55.524661,False
6," New Order Received!
 Customer: kuladeep (kuladeep@gmail.com,  9876324554)
 Order ID: 11
 Book: COMP x 3
 Price: 125.00 per unit
 Total Price: 375.00
 Order Date: 2025-03-19 10:46:28.014514",2025-03-19 10:46:28.049256,False
